date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:46	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2263fb9449-154%22	https://www.classcentral.com/robots.txt		(from )
18:03:48	665354/665354	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2028%20Feb%202023%2010:03:46%20GMT	https://www.classcentral.com/	C:/Users/acer/Desktop/test/task/www.classcentral.com/index.html	(from )
18:03:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Feb%202023%2010:03:48%20GMT	http://schema.org/WebSite	C:/Users/acer/Desktop/test/task/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
18:03:50	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/Users/acer/Desktop/test/task/schema.org/WebSite.html	(from https://www.classcentral.com/)
18:03:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Feb%202023%2010:03:50%20GMT	http://twitter.com/classcentral	C:/Users/acer/Desktop/test/task/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
18:03:50	9463/9463	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/acer/Desktop/test/task/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
18:03:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Feb%202023%2010:03:51%20GMT	http://www.linkedin.com/company/class-central	C:/Users/acer/Desktop/test/task/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
18:03:52	175610/175610	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Feb%202023%2010:03:51%20GMT	https://twitter.com/classcentral	C:/Users/acer/Desktop/test/task/twitter.com/classcentral.html	(from https://www.classcentral.com/)
18:03:54	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Tue,%2028%20Feb%202023%2010:03:52%20GMT	https://www.linkedin.com/company/class-central	C:/Users/acer/Desktop/test/task/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
18:03:55	136003/136003	---MCZ	200	added ('OK')	text/html	etag:W/%22dafe5d71c4927d6be945a9cd262bc370%22	https://github.com/classcentral	C:/Users/acer/Desktop/test/task/github.com/classcentral.html	(from https://www.classcentral.com/)
